node1,label,node2,node2;prob
Q1086823,in,cluster_0,1.0
Q345517,in,cluster_0,1.0
Q432694,in,cluster_1,0.8382838283828383
Q75326809,in,cluster_0,1.0
Q75326777,in,cluster_0,1.0
Q75326779,in,cluster_0,1.0
Q75326780,in,cluster_0,1.0
Q96079835,in,cluster_0,0.9998999899989999
Q96079836,in,cluster_0,1.0
Q96079838,in,cluster_0,1.0
Q76363382,in,cluster_0,0.9998999899989999
Q76363384,in,cluster_0,1.0
Q76363386,in,cluster_0,0.9998999899989999
Q11673,in,cluster_2,0.947994799479948
Q467912,in,cluster_2,1.0
Q134549,in,cluster_3,0.8221822182218221
Q9696,in,cluster_3,0.9818981898189819
Q313696,in,cluster_4,1.0
Q236540,in,cluster_4,0.9991999199919992
Q441424,in,cluster_5,0.7945794579457945
Q7926996,in,cluster_5,0.49264926492649264
Q25310,in,cluster_6,0.9994999499949995
Q265595,in,cluster_4,0.9996999699969997
Q268799,in,cluster_4,0.9994999499949995
Q272401,in,cluster_4,0.9996999699969997
Q272908,in,cluster_1,0.8636863686368637
Q505178,in,cluster_4,0.9992999299929993
Q2383370,in,cluster_5,0.7949794979497949
Q3048622,in,cluster_5,0.7949794979497949
Q948920,in,cluster_5,0.7948794879487949
Q1352872,in,cluster_2,1.0
Q258661,in,cluster_2,1.0
Q1386420,in,cluster_2,1.0
Q1804720,in,cluster_2,1.0
Q1975383,in,cluster_2,1.0
Q273833,in,cluster_2,1.0
Q467861,in,cluster_2,1.0
Q5112377,in,cluster_2,1.0
Q5178632,in,cluster_2,1.0
Q5301573,in,cluster_2,1.0
Q6794923,in,cluster_2,1.0
Q165421,in,cluster_5,1.0
Q230303,in,cluster_5,1.0
Q316064,in,cluster_5,1.0
Q3290402,in,cluster_5,1.0
Q75326753,in,cluster_5,1.0
Q230654,in,cluster_7,0.9816981698169817
Q317248,in,cluster_7,0.9997999799979999
Q2685,in,cluster_8,1.0
Q3436301,in,cluster_7,1.0
Q3529079,in,cluster_7,1.0
Q4773467,in,cluster_7,1.0
Q6769708,in,cluster_7,0.9998999899989999
Q28109921,in,cluster_8,1.0
Q28109928,in,cluster_8,1.0
Q4521676,in,cluster_8,1.0
Q901541,in,cluster_8,1.0
Q23800185,in,cluster_8,0.9998999899989999
Q75494768,in,cluster_8,0.9998999899989999
Q23800370,in,cluster_8,0.9998999899989999
Q3288486,in,cluster_8,1.0
Q96076900,in,cluster_8,0.9870987098709871
Q38196234,in,cluster_8,1.0
Q24004771,in,cluster_8,0.9851985198519851
Q96077739,in,cluster_7,0.9928992899289929
Q96077740,in,cluster_7,0.9932993299329933
Q65589427,in,cluster_7,0.9408940894089409
Q43100988,in,cluster_8,0.9897989798979898
Q503706,in,cluster_8,0.9908990899089909
Q4491,in,cluster_8,0.9892989298929893
Q65589450,in,cluster_7,0.9412941294129413
Q75496774,in,cluster_8,0.9882988298829883
Q4616,in,cluster_5,0.49904990499049906
